country,x,y
Albania, 25,-268
Andorra, -280, -247
Austria, -70, -140
Belarus, 85, 10
Belgium, -219, -70
Bosnia, -20,-208
Bulgaria, 100, -225
Croatia, -60,-193
Czech Republic, -80,-93
Cyprus, 272,-355
Denmark, -149, 30
Estonia, 36, 120
Faroe Islands, -326, 195
Finland, 6, 200
France, -249, -160
Germany, -150, -60
Gibraltar, -415, -363
Greece, 55, -303
Hungary, 0, -150
Iceland, -396, 285
Ireland, -376, 0
Italy, -120, -210
Kosovo, 33, -245
Latvia, 36, 77
Liechtenstein, -153, -153
Lithuania, 26, 45
Luxembourg, -209, -96
Malta, -75,-383
Moldova, 133, -118
Monaco, -190, -235
Montenegro, -5,-238
Netherlands, -210, -40
North Macedonia, 42,-260
Norway, -145, 165
Poland, -10, -35
Portugal, -448, -278
Romania, 80, -155
Russia, 240, 110
San Marino, -95,-226
Serbia, 28, -210
Slovakia, -10,-109
Slovenia, -73,-173
Spain, -375, -280
Sweden, -90, 165
Switzerland, -180, -163
Turkey, 205, -290
Ukraine, 110, -75
United Kingdom, -345, 35
Vatican, -110, -250
